"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"umls:C1621958","umls:C1621958","Glioblastoma Multiforme","11/113","434/17381",0.000122533158824089,0.00151800071579195,0.00101237164920168,"3456/29126/3569/8743/834/330/6890/6772/8651/5371/3665",11
"umls:C0282488","umls:C0282488","Interstitial Cystitis","4/113","40/17381",0.000129221852570067,0.00158942878661183,0.00106000782822514,"6373/3627/3569/3576",4
"umls:C0677607","umls:C0677607","Hashimoto Disease","6/113","121/17381",0.000138406346531013,0.00167794288835387,0.00111903887229909,"3627/6352/3569/3669/7098/5698",6
"umls:C0850666","umls:C0850666","Helicobacter pylori infection","9/113","297/17381",0.000138967575166428,0.00167794288835387,0.00111903887229909,"6352/29126/3569/64135/834/3669/330/6364/3576",9
"umls:C0019156","umls:C0019156","Hepatic Veno-Occlusive Disease","3/113","16/17381",0.000140875551139897,0.00167794288835387,0.00111903887229909,"3569/5371/3431",3
"umls:C0152026","umls:C0152026","Retinal Vasculitis","3/113","16/17381",0.000140875551139897,0.00167794288835387,0.00111903887229909,"3456/6352/90865",3
"umls:C0242656","umls:C0242656","Disease Progression","8/113","233/17381",0.000141290196754536,0.00167794288835387,0.00111903887229909,"3627/6352/23586/3569/6376/60489/64135/6772",8
"umls:C0034494","umls:C0034494","Rabies (disorder)","4/113","41/17381",0.000142477550221175,0.00168045439370454,0.00112071382329706,"23586/7098/27074/6772",4
"umls:C0079745","umls:C0079745","Lymphoma, Large-Cell, Follicular","7/113","176/17381",0.000151838937885698,0.00177868470094675,0.00118622471345003,"3620/10673/3569/834/6891/3592/3576",7
"umls:C0026936","umls:C0026936","Mycoplasma Infections","5/113","79/17381",0.000163291776738803,0.00189992188881229,0.0012670791495166,"10673/3569/834/3576/83666",5
"umls:C0023860","umls:C0023860","Listeriosis","3/113","17/17381",0.000170253964759534,0.00196763306923435,0.00131223649277748,"3456/3569/834",3
"umls:C0948089","umls:C0948089","Acute Coronary Syndrome","9/113","308/17381",0.000182496655041619,0.00209506159987779,0.00139722000456426,"6352/5806/3569/3669/5698/8651/51056/3576/3659",9
"umls:C1840264","umls:C1840264","IMMUNE SUPPRESSION","5/113","81/17381",0.000183734104775867,0.00209529886373538,0.00139737823848359,"29126/3569/3669/7098/6772",5
"umls:C0153014","umls:C0153014","Non-arthropod borne lymphocytic choriomeningitis","4/113","44/17381",0.000188146422048153,0.00213150091294026,0.00142152178985135,"23586/3669/6772/6773",4
"umls:C0027947","umls:C0027947","Neutropenia","7/113","183/17381",0.000193121810532812,0.00217356704403596,0.00144957616299482,"23586/3569/8743/6772/64078/3665/6773",7
"umls:C0036220","umls:C0036220","Kaposi Sarcoma","7/113","184/17381",0.000199695796400229,0.00223296208702075,0.00148918738122112,"3620/5806/29126/3569/6364/3592/3576",7
"umls:C0263361","umls:C0263361","Psoriasis vulgaris","6/113","130/17381",0.000204845468697844,0.0022757670780496,0.00151773450831476,"23586/3569/3669/6890/3965/3576",6
"umls:C0041956","umls:C0041956","Ureteral obstruction","6/113","132/17381",0.000222553048000466,0.00245599087995981,0.00163792777678107,"3627/6352/834/1230/3659/57393",6
"umls:C1868677","umls:C1868677","PHOTOPAROXYSMAL RESPONSE 1","4/113","46/17381",0.000223920190565441,0.00245599087995981,0.00163792777678107,"834/51554/7098/6737",4
"umls:C0085584","umls:C0085584","Encephalopathies","6/113","133/17381",0.000231847808316971,0.00252684763241661,0.00168518293720064,"23586/25939/3569/64135/7098/3576",6
"umls:C0085693","umls:C0085693","Acute appendicitis NOS (disorder)","3/113","19/17381",0.000240322959609249,0.00258647585279454,0.00172494966403744,"3569/3669/3576",3
"umls:C0162823","umls:C0162823","Dermatitis, Irritant","3/113","19/17381",0.000240322959609249,0.00258647585279454,0.00172494966403744,"3627/51554/3576",3
"umls:C0031069","umls:C0031069","Familial Mediterranean Fever","5/113","86/17381",0.000243393384462348,0.00260325098164077,0.00173613718501747,"3569/834/6737/3576/85363",5
"umls:C0002871","umls:C0002871","Anemia","9/113","322/17381",0.000253816318661771,0.00268142147690534,0.00178826996228603,"6352/3569/8743/7098/6772/64078/4938/3592/3576",9
"umls:C0374997","umls:C0374997","Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site","9/113","322/17381",0.000253816318661771,0.00268142147690534,0.00178826996228603,"3620/6352/3569/8743/834/3669/330/6364/3576",9
"umls:C0013080","umls:C0013080","Down Syndrome","11/113","473/17381",0.00025838013932711,0.00271299146293465,0.00180932433893374,"3437/3569/4600/8743/3669/684/6772/5371/3576/3659/4599",11
"umls:C0021053","umls:C0021053","Immune System Diseases","7/113","194/17381",0.000275936191050074,0.00287977043023169,0.00192055109687803,"10673/3569/6376/3669/3592/972/7128",7
"umls:C0009766","umls:C0009766","Allergic Conjunctivitis","3/113","20/17381",0.000281396560286237,0.00291906552296928,0.00194675743355919,"6352/3659/90865",3
"umls:C0002894","umls:C0002894","Refractory anaemia with excess blasts","4/113","49/17381",0.000286409737044506,0.00293569980470618,0.00195785102202729,"3569/6772/8651/43",4
"umls:C0006271","umls:C0006271","Bronchiolitis","4/113","49/17381",0.000286409737044506,0.00293569980470618,0.00195785102202729,"6352/6376/7098/3576",4
"umls:C0339143","umls:C0339143","Thyroid associated opthalmopathies","5/113","90/17381",0.000300892933533901,0.00306590314523892,0.0020446850855527,"3569/64135/43/3592/3576",5
"umls:C0035920","umls:C0035920","Rubella","4/113","50/17381",0.00030976454864088,0.00313773266329173,0.00209258899422415,"3456/3569/27074/10384",4
"umls:C0003130","umls:C0003130","Anoxia","9/113","332/17381",0.000317816298501,0.00320046588315042,0.00213442647992977,"3569/6376/8743/4502/330/5366/6772/3576/7128",9
"umls:C0867389","umls:C0867389","Chronic graft-versus-host disease","5/113","93/17381",0.000350365015810012,0.00350772416991186,0.00233934046663845,"6352/10673/3569/8743/3669",5
"umls:C0042384","umls:C0042384","Vasculitis","6/113","144/17381",0.000355681044172968,0.00352001585095316,0.00234753792615068,"3627/6352/5806/3437/6376/3122",6
"umls:C0275524","umls:C0275524","Coinfection","6/113","144/17381",0.000355681044172968,0.00352001585095316,0.00234753792615068,"6373/3627/3569/5698/3576/83666",6
"umls:C1800706","umls:C1800706","Idiopathic Pulmonary Fibrosis","9/113","338/17381",0.000362254499327473,0.00356458427338234,0.00237726110536104,"6373/3627/5806/3569/7098/8651/3576/90865/83666",9
"umls:C0699949","umls:C0699949","airway disease","5/113","94/17381",0.000368149962398163,0.00360201270028203,0.00240222254172486,"6352/3569/3576/1230/90865",5
"umls:C0262985","umls:C0262985","Psoriasiform eczema","3/113","22/17381",0.000376548809265395,0.0036427924132304,0.00242941898822322,"3569/6364/3576",3
"umls:C0276340","umls:C0276340","Respiratory syncytial virus bronchiolitis","3/113","22/17381",0.000376548809265395,0.0036427924132304,0.00242941898822322,"6352/3569/3576",3
"umls:C0001339","umls:C0001339","Acute pancreatitis","5/113","95/17381",0.00038660930188844,0.00371922468073684,0.00248039252196582,"3569/7098/3576/90865/7128",5
"umls:C0376545","umls:C0376545","Hematologic Neoplasms","11/113","497/17381",0.000393336988663356,0.00376292385821277,0.00250953599199837,"3627/3456/10673/23586/3569/8743/5366/8651/5371/3113/972",11
"umls:C0023492","umls:C0023492","Leukemia, T-Cell","9/113","343/17381",0.000403101376161679,0.00381813170010495,0.00254635471900147,"3569/8743/3669/330/4005/6772/8651/3576/4940",9
"umls:C0238301","umls:C0238301","Cancer of Nasopharynx","5/113","96/17381",0.000405759640603488,0.00381813170010495,0.00254635471900147,"3569/5698/6890/6772/6773",5
"umls:C0376618","umls:C0376618","Endotoxemia","5/113","96/17381",0.000405759640603488,0.00381813170010495,0.00254635471900147,"6352/3569/6376/834/4502",5
"umls:C0023283","umls:C0023283","Leishmaniasis, Cutaneous","4/113","54/17381",0.000416965924328099,0.00386029742845692,0.00257447551466868,"3627/3569/27074/3576",4
"umls:C0086981","umls:C0086981","Sicca Syndrome","4/113","54/17381",0.000416965924328099,0.00386029742845692,0.00257447551466868,"7098/6772/6737/7128",4
"umls:C0796126","umls:C0796126","AICARDI-GOUTIERES SYNDROME 1","4/113","54/17381",0.000416965924328099,0.00386029742845692,0.00257447551466868,"3456/25939/64135/3576",4
"umls:C0276226","umls:C0276226","Herpes encephalitis","3/113","23/17381",0.000430986134953073,0.00396876002347161,0.00264681043193809,"7098/6772/140691",3
"umls:C0040028","umls:C0040028","Thrombocythemia, Essential","6/113","150/17381",0.000442215968457312,0.00405051009406113,0.00270133046801191,"10673/5806/3569/8651/51056/3576",6
"umls:C3539909","umls:C3539909","Allergic disposition","7/113","210/17381",0.000445162250832454,0.00405514424139701,0.00270442103268179,"6352/3569/3669/6772/3576/3659/90865",7
"umls:C3714636","umls:C3714636","Pneumonitis","4/113","55/17381",0.000447431710723247,0.00405514424139701,0.00270442103268179,"3569/834/3576/83666",4
"umls:C0036920","umls:C0036920","Sezary Syndrome","6/113","151/17381",0.000458108340014336,0.00413017047908212,0.00275445686941659,"3627/6352/8743/51554/3576/7128",6
"umls:C0021051","umls:C0021051","Immunologic Deficiency Syndromes","10/113","427/17381",0.000470439655086558,0.00421925565655757,0.00281386877028199,"3456/6352/10673/29126/3569/8743/330/25780/5371/3431",10
"umls:C0030246","umls:C0030246","Pustulosis of Palms and Soles","3/113","24/17381",0.00049023013620844,0.00435142419871615,0.0029020134487434,"3569/3669/3576",3
"umls:C0276653","umls:C0276653","Invasive Pulmonary Aspergillosis","3/113","24/17381",0.00049023013620844,0.00435142419871615,0.0029020134487434,"5806/3569/83666",3
"umls:C0085655","umls:C0085655","Polymyositis","5/113","102/17381",0.000536122489745987,0.00473437398637226,0.00315740694365923,"3456/3569/3669/7098/7128",5
"umls:C0024266","umls:C0024266","Lymphocytic Choriomeningitis","4/113","58/17381",0.000548337603782575,0.00479308301377459,0.00319656065042367,"23586/3669/6772/6773",4
"umls:C0920350","umls:C0920350","Autoimmune thyroiditis","4/113","58/17381",0.000548337603782575,0.00479308301377459,0.00319656065042367,"3627/3569/3669/7098",4
"umls:C0002873","umls:C0002873","Anemia of chronic disease","3/113","25/17381",0.000554450364231801,0.00482203801619778,0.00321587106526791,"6373/3569/51554",3
"umls:C0025289","umls:C0025289","Meningitis","4/113","59/17381",0.000585291992375147,0.00506468749180906,0.00337769671346885,"3569/8743/3576/4940",4
"umls:C1519680","umls:C1519680","Tumor Immunity","5/113","105/17381",0.000612024976582292,0.00526859915288592,0.0035136876800529,"3620/6352/29126/3669/3113",5
"umls:C0005695","umls:C0005695","Bladder Neoplasm","10/113","442/17381",0.000614975859308984,0.00526859915288592,0.0035136876800529,"54739/29126/3569/8743/4502/330/6772/634/3576/3659",10
"umls:C0302809","umls:C0302809","Fulminant hepatitis","3/113","26/17381",0.000623812547745011,0.00531784756047975,0.00354653199369363,"3627/8651/90865",3
"umls:C0031154","umls:C0031154","Peritonitis","5/113","106/17381",0.000639032606012327,0.00542075934755284,0.00361516501508659,"6352/3569/834/330/3576",5
"umls:C1301034","umls:C1301034","Pancreatic intraepithelial neoplasia","4/113","61/17381",0.000664450162727551,0.00560874107949433,0.00374053213382744,"3569/6376/4005/8651",4
"umls:C0079487","umls:C0079487","Helicobacter Infections","5/113","108/17381",0.000695717177883497,0.00583873895233598,0.00389392028669146,"6352/3569/6364/3592/3576",5
"umls:C0024205","umls:C0024205","Lymphadenitis","3/113","27/17381",0.000698478643543096,0.00583873895233598,0.00389392028669146,"3627/8651/3576",3
"umls:C0023343","umls:C0023343","Leprosy","6/113","165/17381",0.000731013739479698,0.00608118676030937,0.00405561144048996,"3456/3569/3669/8651/6891/3576",6
"umls:C0242966","umls:C0242966","Systemic Inflammatory Response Syndrome","4/113","63/17381",0.000750909903413244,0.00621624583857134,0.00414568384979603,"3569/834/3576/7128",4
"umls:C0007873","umls:C0007873","Uterine Cervical Neoplasm","6/113","166/17381",0.000754468861940424,0.00621624583857134,0.00414568384979603,"3627/3569/5698/27074/6890/6891",6
"umls:C0279628","umls:C0279628","Adenocarcinoma Of Esophagus","8/113","300/17381",0.000766357851440651,0.00626523859143567,0.00417835766443934,"3569/8743/330/7098/6891/3576/3659/11074",8
"umls:C0009663","umls:C0009663","Condylomata Acuminata","3/113","28/17381",0.000778606886508265,0.00626523859143567,0.00417835766443934,"3456/3569/330",3
"umls:C0035328","umls:C0035328","Retinal Vein Occlusion","3/113","28/17381",0.000778606886508265,0.00626523859143567,0.00417835766443934,"6352/3569/3576",3
"umls:C0483368","umls:C0483368","Human anaplasmosis due to Anaplasma phagocytophilum","3/113","28/17381",0.000778606886508265,0.00626523859143567,0.00417835766443934,"3569/10561/3576",3
"umls:C0679362","umls:C0679362","Tuberculosis, extrapulmonary","3/113","28/17381",0.000778606886508265,0.00626523859143567,0.00417835766443934,"3569/6376/3431",3
"umls:C0162820","umls:C0162820","Dermatitis, Allergic Contact","5/113","111/17381",0.000787694431380964,0.00630888284110707,0.00420746450250493,"3627/3569/51554/8651/2920",5
"umls:C0085129","umls:C0085129","Bronchial Hyperreactivity","6/113","170/17381",0.000854167389185902,0.00677823153999135,0.00452047839729236,"6352/55876/6890/3122/3576/3659",6
"umls:C0333516","umls:C0333516","Tumor necrosis","6/113","170/17381",0.000854167389185902,0.00677823153999135,0.00452047839729236,"6373/3456/3569/6772/3576/4599",6
"umls:C0041228","umls:C0041228","African Trypanosomiasis","3/113","29/17381",0.000864351839091404,0.00682758654548347,0.00455339380226326,"3627/3569/27074",3
"umls:C0040100","umls:C0040100","Thymoma","6/113","172/17381",0.000907680466044871,0.00713710393848981,0.00475981441218435,"23586/64135/3669/7098/4005/6772",6
"umls:C0007282","umls:C0007282","Carotid Stenosis","5/113","115/17381",0.000924093435423948,0.00723313134454563,0.00482385616290683,"6352/3569/4502/3576/972",5
"umls:C0040034","umls:C0040034","Thrombocytopenia","4/113","68/17381",0.00100139480827208,0.0078027233477128,0.00520372343807975,"23586/6772/3665/6773",4
"umls:C1168198","umls:C1168198","Recurrent respiratory papillomatosis","3/113","31/17381",0.00105329205395966,0.00817013025638983,0.00544875121322899,"29126/6890/6364",3
"umls:C0013537","umls:C0013537","Eclampsia","6/113","179/17381",0.00111557979850597,0.00858141659845068,0.00572304267309107,"3620/3569/6890/6772/6891/3576",6
"umls:C0042749","umls:C0042749","Viremia","4/113","70/17381",0.0011162818339448,0.00858141659845068,0.00572304267309107,"6352/6772/6737/3659",4
"umls:C0007193","umls:C0007193","Cardiomyopathy, Dilated","9/113","400/17381",0.00120181534702379,0.00919789345588877,0.00613417798176823,"3456/3569/64135/8743/834/3669/7098/3576/3659",9
"umls:C0023892","umls:C0023892","Biliary cirrhosis","5/113","123/17381",0.00124869622279954,0.00951440219318939,0.00634526119736513,"3627/3620/6352/8743/3592",5
"umls:C0031094","umls:C0031094","Periodontal Pocket","3/113","33/17381",0.00126646418635366,0.00956513740746057,0.00637909707900207,"3569/3592/3965",3
"umls:C0042165","umls:C0042165","Anterior uveitis","3/113","33/17381",0.00126646418635366,0.00956513740746057,0.00637909707900207,"6352/3569/1230",3
"umls:C0334634","umls:C0334634","Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse","8/113","325/17381",0.00128148036890354,0.00963628469542311,0.00642654600079871,"6352/10673/3569/8743/5366/6772/3592/972",8
"umls:C0027439","umls:C0027439","Nasopharyngeal Neoplasms","4/113","74/17381",0.00137325299019904,0.0101736789251435,0.00678494022087634,"7098/6890/3592/3576",4
"umls:C0014070","umls:C0014070","Encephalomyelitis","3/113","34/17381",0.00138248598634355,0.0101736789251435,0.00678494022087634,"3569/7098/3113",3
"umls:C0021345","umls:C0021345","Infectious Mononucleosis","3/113","34/17381",0.00138248598634355,0.0101736789251435,0.00678494022087634,"3569/5698/3576",3
"umls:C0025295","umls:C0025295","Meningitis, Pneumococcal","3/113","34/17381",0.00138248598634355,0.0101736789251435,0.00678494022087634,"3569/834/3965",3
"umls:C0155862","umls:C0155862","Streptococcal pneumonia","3/113","34/17381",0.00138248598634355,0.0101736789251435,0.00678494022087634,"6352/3569/3576",3
"umls:C0242647","umls:C0242647","Mucosa-Associated Lymphoid Tissue Lymphoma","6/113","188/17381",0.00143445920509769,0.0104876887961228,0.00699435691458524,"330/4005/6737/1230/83666/7128",6
"umls:C0034063","umls:C0034063","Pulmonary Edema","4/113","75/17381",0.00144342755207962,0.0104876887961228,0.00699435691458524,"3569/3576/83666/2920",4
"umls:C0080032","umls:C0080032","Pleural Effusion, Malignant","4/113","75/17381",0.00144342755207962,0.0104876887961228,0.00699435691458524,"6373/3569/3669/3576",4
"umls:C0278883","umls:C0278883","Metastatic melanoma","8/113","333/17381",0.00149475376232046,0.010814983103848,0.0072126331476852,"3456/29126/3569/8743/6890/6772/8651/3576",8
"umls:C0026780","umls:C0026780","Mumps","3/113","35/17381",0.00150497745471429,0.0108433940461005,0.00723158072271875,"3456/3569/6772",3
"umls:C0023290","umls:C0023290","Leishmaniasis, Visceral","4/113","77/17381",0.00159121254470005,0.0113225950494772,0.0075511652295248,"3569/3669/3576/90865",4
"umls:C0035243","umls:C0035243","Respiratory Tract Infections","4/113","77/17381",0.00159121254470005,0.0113225950494772,0.0075511652295248,"129607/3569/6772/1230",4
"umls:C0949691","umls:C0949691","Spondylarthropathies","4/113","77/17381",0.00159121254470005,0.0113225950494772,0.0075511652295248,"3569/5698/3122/3592",4
"umls:C0340068","umls:C0340068","Aspirin-sensitive asthma with nasal polyps","3/113","36/17381",0.00163406878868585,0.0115322395660534,0.00769097950153695,"6890/6891/90865",3
"umls:C0677659","umls:C0677659","Gastro-esophageal reflux disease with esophagitis","3/113","36/17381",0.00163406878868585,0.0115322395660534,0.00769097950153695,"3569/3576/90865",3
"umls:C0014170","umls:C0014170","Endometrial Neoplasms","7/113","265/17381",0.00173139929110372,0.0121692635889004,0.00811581794455062,"3627/3569/8743/7098/634/3576/3659",7
"umls:C0015397","umls:C0015397","Disorder of eye","5/113","133/17381",0.00176467171715908,0.0122892952626168,0.00819586840975299,"3627/282616/6352/5698/3576",5
"umls:C0278488","umls:C0278488","Carcinoma breast stage IV","8/113","342/17381",0.0017674543948254,0.0122892952626168,0.00819586840975299,"5806/3569/81030/5698/684/64078/51056/3576",8
"umls:C0085083","umls:C0085083","Ovarian Hyperstimulation Syndrome","3/113","37/17381",0.00176988689031879,0.0122892952626168,0.00819586840975299,"3569/8651/3576",3
"umls:C0017565","umls:C0017565","Gingival Hemorrhage","2/113","10/17381",0.00182215209919102,0.0124021577660354,0.00827113767512963,"3569/3592",2
"umls:C0238448","umls:C0238448","Testicular embryonal carcinoma","2/113","10/17381",0.00182215209919102,0.0124021577660354,0.00827113767512963,"5366/3659",2
"umls:C0410808","umls:C0410808","Prosthetic joint infection","2/113","10/17381",0.00182215209919102,0.0124021577660354,0.00827113767512963,"6352/2920",2
"umls:C0549297","umls:C0549297","Auricular swelling","2/113","10/17381",0.00182215209919102,0.0124021577660354,0.00827113767512963,"3627/6352",2
"umls:C3665596","umls:C3665596","Warts","2/113","10/17381",0.00182215209919102,0.0124021577660354,0.00827113767512963,"3456/7098",2
"umls:C2145472","umls:C2145472","Urothelial Carcinoma","6/113","198/17381",0.00186572383347241,0.0126487261466121,0.00843557688486695,"282616/3569/8743/6364/3576/2920",6
"umls:C0004626","umls:C0004626","Pneumonia, Bacterial","3/113","38/17381",0.00191255541142294,0.0128148654415187,0.00854637703814223,"3569/140691/2920",3
"umls:C0019372","umls:C0019372","Herpesviridae Infections","3/113","38/17381",0.00191255541142294,0.0128148654415187,0.00854637703814223,"3569/3592/3576",3
"umls:C0022568","umls:C0022568","Keratitis","3/113","38/17381",0.00191255541142294,0.0128148654415187,0.00854637703814223,"3569/834/3576",3
"umls:C0035204","umls:C0035204","Respiration Disorders","4/113","82/17381",0.00200615488092404,0.0133899174610511,0.00892988565927427,"6352/7098/3576/83666",4
"umls:C0856825","umls:C0856825","Acute GVH disease","5/113","140/17381",0.00220882443702667,0.0141517935530126,0.00943798934307522,"6352/3569/834/3669/90865",5
"umls:C0002438","umls:C0002438","Amebiasis","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"834/3576",2
"umls:C0043515","umls:C0043515","Zollinger-Ellison syndrome","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"3569/3576",2
"umls:C0206750","umls:C0206750","Coronavirus Infections","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"4599/2920",2
"umls:C0235896","umls:C0235896","Lung infiltration","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"6352/6376",2
"umls:C0242292","umls:C0242292","McCune-Albright Syndrome","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"3569/2633",2
"umls:C0729531","umls:C0729531","Viral respiratory infection","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"6352/7098",2
"umls:C0848676","umls:C0848676","Subfertility, Male","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"3569/3576",2
"umls:C1262117","umls:C1262117","Fungal keratitis","2/113","11/17381",0.00221762930824168,0.0141517935530126,0.00943798934307522,"3569/3576",2
"umls:C0085437","umls:C0085437","Meningitis, Bacterial","3/113","40/17381",0.00221892233409605,0.0141517935530126,0.00943798934307522,"8743/2633/3576",3
"umls:C1518296","umls:C1518296","Neuropathogenesis","3/113","40/17381",0.00221892233409605,0.0141517935530126,0.00943798934307522,"3627/3620/6772",3
"umls:C3875321","umls:C3875321","Inflammatory dermatosis","3/113","40/17381",0.00221892233409605,0.0141517935530126,0.00943798934307522,"23586/7128/6773",3
"umls:C0027962","umls:C0027962","Melanocytic nevus","5/113","141/17381",0.00227835039446535,0.0144771932814367,0.0096550020600571,"54739/3569/8651/3965/3576",5
"umls:C0020456","umls:C0020456","Hyperglycemia","9/113","441/17381",0.00234073337124586,0.0148189075929609,0.00988289515491189,"3627/6352/3569/8743/834/4502/51316/3576/140691",9
"umls:C0018081","umls:C0018081","Gonorrhea","3/113","41/17381",0.0023828521854546,0.0148508762014852,0.00990421537735825,"3569/64135/3576",3
"umls:C0153252","umls:C0153252","Systemic candidiasis","3/113","41/17381",0.0023828521854546,0.0148508762014852,0.00990421537735825,"6352/1230/2920",3
"umls:C0026918","umls:C0026918","Mycobacterium Infections","4/113","86/17381",0.00238783662891018,0.0148508762014852,0.00990421537735825,"6373/3569/6772/3576",4
"umls:C1719672","umls:C1719672","Severe Sepsis","4/113","86/17381",0.00238783662891018,0.0148508762014852,0.00990421537735825,"3569/834/3576/2920",4
"umls:C0042900","umls:C0042900","Vitiligo","6/113","208/17381",0.00238890401150488,0.0148508762014852,0.00990421537735825,"3569/64135/5698/6890/43/3576",6
"umls:C0037299","umls:C0037299","Skin Ulcer","3/113","42/17381",0.00255409544233097,0.0155962849350849,0.0104013367957562,"3569/3592/3576",3
"umls:C0151332","umls:C0151332","Active tuberculosis","3/113","42/17381",0.00255409544233097,0.0155962849350849,0.0104013367957562,"3669/8651/3431",3
"umls:C0151449","umls:C0151449","Primary Sjogren's syndrome","3/113","42/17381",0.00255409544233097,0.0155962849350849,0.0104013367957562,"6352/6772/6737",3
"umls:C0543697","umls:C0543697","Mixed cryoglobulinemia","3/113","42/17381",0.00255409544233097,0.0155962849350849,0.0104013367957562,"3627/10673/3569",3
"umls:C0701807","umls:C0701807","Acute anterior uveitis","3/113","42/17381",0.00255409544233097,0.0155962849350849,0.0104013367957562,"6352/3569/5698",3
"umls:C0042029","umls:C0042029","Urinary tract infection","4/113","88/17381",0.00259622459911956,0.0157975221190243,0.0105355441236356,"6352/5806/3569/3576",4
"umls:C0010232","umls:C0010232","Cowpox","2/113","12/17381",0.00264987428614069,0.0159548374850848,0.0106404595001085,"834/6890",2
"umls:C0040115","umls:C0040115","Thymus Hyperplasia","2/113","12/17381",0.00264987428614069,0.0159548374850848,0.0106404595001085,"3669/43",2
"umls:C0854193","umls:C0854193","Cognitive deterioration","2/113","12/17381",0.00264987428614069,0.0159548374850848,0.0106404595001085,"3569/4599",2
"umls:C0002965","umls:C0002965","Angina, Unstable","4/113","89/17381",0.00270495786034363,0.0162067517107279,0.0108084639136892,"5806/3569/6376/3576",4
"umls:C0153690","umls:C0153690","Secondary malignant neoplasm of bone","7/113","287/17381",0.00271053687148063,0.0162067517107279,0.0108084639136892,"5806/3569/8743/1961/684/3665/3576",7
"umls:C0040136","umls:C0040136","Thyroid Neoplasm","9/113","453/17381",0.00280085163731534,0.0166888114860104,0.0111299549674414,"3627/3620/3569/6376/8743/7098/6772/634/3576",9
"umls:C0001175","umls:C0001175","Acquired Immunodeficiency Syndrome","5/113","149/17381",0.00289326602236865,0.0171209762560784,0.0114181704843704,"6373/3627/6352/3569/60489",5
"umls:C0002874","umls:C0002874","Aplastic Anemia","5/113","149/17381",0.00289326602236865,0.0171209762560784,0.0114181704843704,"6352/3569/8743/3965/3576",5
"umls:C0410702","umls:C0410702","Adolescent idiopathic scoliosis","3/113","45/17381",0.00311277130752998,0.018141507318133,0.0120987740595899,"3569/4502/4496",3
"umls:C0553694","umls:C0553694","Oropharyngeal disorders","3/113","45/17381",0.00311277130752998,0.018141507318133,0.0120987740595899,"3569/6772/83666",3
"umls:C0039743","umls:C0039743","Thanatophoric Dysplasia","2/113","13/17381",0.00311840079336084,0.018141507318133,0.0120987740595899,"6772/43",2
"umls:C0585186","umls:C0585186","Cutaneous hypersensitivity","2/113","13/17381",0.00311840079336084,0.018141507318133,0.0120987740595899,"6376/51554",2
"umls:C1868678","umls:C1868678","THANATOPHORIC DYSPLASIA, TYPE I (disorder)","2/113","13/17381",0.00311840079336084,0.018141507318133,0.0120987740595899,"6772/43",2
"umls:C0015967","umls:C0015967","Fever","3/113","46/17381",0.00331431905987635,0.0190241914036902,0.0126874459450003,"6352/3569/3576",3
"umls:C0021367","umls:C0021367","Mammary Ductal Carcinoma","3/113","46/17381",0.00331431905987635,0.0190241914036902,0.0126874459450003,"3456/3569/4502",3
"umls:C0034186","umls:C0034186","Pyelonephritis","3/113","46/17381",0.00331431905987635,0.0190241914036902,0.0126874459450003,"6352/3569/3576",3
"umls:C0741923","umls:C0741923","cardiac event","3/113","46/17381",0.00331431905987635,0.0190241914036902,0.0126874459450003,"6352/5806/3576",3
"umls:C0017152","umls:C0017152","Gastritis","6/113","223/17381",0.00337176723495031,0.0192896451115762,0.0128644799906655,"3627/6352/3569/6364/3592/3576",6
"umls:C0024534","umls:C0024534","Malaria, Cerebral","4/113","95/17381",0.00342360705444188,0.0195213620786388,0.0130190146266856,"3627/3620/3569/3592",4
"umls:C0006267","umls:C0006267","Bronchiectasis","3/113","47/17381",0.00352369101043833,0.0198673131976957,0.0132497332958531,"6890/6891/6737",3
"umls:C0017574","umls:C0017574","Gingivitis","3/113","47/17381",0.00352369101043833,0.0198673131976957,0.0132497332958531,"3569/3669/3592",3
"umls:C0600518","umls:C0600518","Choroidal Neovascularization","3/113","47/17381",0.00352369101043833,0.0198673131976957,0.0132497332958531,"3569/7098/3576",3
"umls:C0036690","umls:C0036690","Septicemia","8/113","383/17381",0.00354575679179498,0.0198673131976957,0.0132497332958531,"5806/3569/834/3669/7098/3576/140691/2920",8
"umls:C0024419","umls:C0024419","Waldenstrom Macroglobulinemia","4/113","96/17381",0.0035548178115653,0.0198673131976957,0.0132497332958531,"10673/3569/8743/3669",4
"umls:C1292769","umls:C1292769","Precursor B-cell lymphoblastic leukemia","8/113","384/17381",0.00360197374239239,0.0198673131976957,0.0132497332958531,"10673/51513/3569/3669/4005/8651/3576/83666",8
"umls:C0003615","umls:C0003615","Appendicitis","2/113","14/17381",0.00362272726136845,0.0198673131976957,0.0132497332958531,"3569/3576",2
